Timestamp_UTC,Symbol,Side,Regime,Raw_Proba,Calib_Proba,Threshold,Expected_PF,EV_Adj,Uncertainty,Status,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-06T15:20:49.687050,BTCUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:49.689054,BTCUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:50.560568,ETHUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:50.560568,ETHUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:51.295717,SOLUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:51.298966,SOLUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:52.233543,BNBUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:52.233543,BNBUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:53.424422,XRPUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:53.424422,XRPUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:54.156674,DOGEUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:54.157683,DOGEUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:55.100245,AVAXUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:55.100245,AVAXUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:55.875709,LINKUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:55.875709,LINKUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:56.608572,NEARUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:56.608572,NEARUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:20:57.339808,ADAUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:20:57.339808,ADAUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:02.985986,BTCUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:02.986990,BTCUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:03.862763,ETHUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:03.862763,ETHUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:04.661742,SOLUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:04.661742,SOLUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:05.398236,BNBUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:05.398236,BNBUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:06.135336,XRPUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:06.135844,XRPUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:06.866506,DOGEUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:06.866506,DOGEUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T15:22:07.624476,AVAXUSDT,LONG,0,0.0,0.0,0.7,1.079,0.0,0.0,REJECTED_T1,Proba < Thresh (0.000 < 0.7),,,
2026-05-06T15:22:07.624476,AVAXUSDT,SHORT,0,0.0,0.0,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
